#options: 640x360 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=400 vbv_bufsize=800 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:50 out:49 type:P dur:2 cpbdur:2 q:32.15 aq:26.21 tex:19042 mv:2673 misc:797 imb:14 pmb:419 smb:487 d:s ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:32.46 aq:34.96 tex:590 mv:901 misc:357 imb:0 pmb:71 smb:849 d:t ref:0 ;
in:54 out:51 type:P dur:2 cpbdur:2 q:31.62 aq:26.36 tex:16835 mv:2543 misc:870 imb:11 pmb:396 smb:513 d:s ref:0 ;
in:52 out:52 type:B dur:2 cpbdur:2 q:32.23 aq:32.09 tex:433 mv:792 misc:399 imb:0 pmb:81 smb:839 d:s ref:0 ;
in:51 out:53 type:b dur:2 cpbdur:2 q:32.30 aq:29.00 tex:5 mv:40 misc:179 imb:0 pmb:9 smb:911 d:s ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:32.28 aq:31.51 tex:357 mv:587 misc:400 imb:0 pmb:76 smb:844 d:- ref:0 ;
in:58 out:55 type:P dur:2 cpbdur:2 q:31.50 aq:25.96 tex:22969 mv:3378 misc:781 imb:29 pmb:394 smb:497 d:s ref:0 ;
in:56 out:56 type:B dur:2 cpbdur:2 q:31.74 aq:30.13 tex:4355 mv:2205 misc:544 imb:2 pmb:171 smb:747 d:s ref:0 ;
in:55 out:57 type:b dur:2 cpbdur:2 q:32.00 aq:21.32 tex:46 mv:131 misc:319 imb:0 pmb:59 smb:861 d:s ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:31.81 aq:34.33 tex:1049 mv:1166 misc:409 imb:0 pmb:113 smb:807 d:- ref:0 ;
in:60 out:59 type:P dur:2 cpbdur:2 q:31.54 aq:25.34 tex:34669 mv:4093 misc:750 imb:56 pmb:475 smb:389 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:31.83 aq:34.06 tex:3678 mv:2429 misc:413 imb:8 pmb:146 smb:766 d:t ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:31.08 aq:25.35 tex:34884 mv:3678 misc:806 imb:36 pmb:478 smb:406 d:s ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:31.54 aq:32.70 tex:1635 mv:1693 misc:504 imb:0 pmb:141 smb:779 d:s ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:31.54 aq:29.32 tex:64 mv:319 misc:305 imb:0 pmb:57 smb:863 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:31.53 aq:29.38 tex:1367 mv:1212 misc:437 imb:2 pmb:110 smb:808 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:31.23 aq:25.76 tex:22698 mv:3203 misc:779 imb:23 pmb:405 smb:492 d:s ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:31.30 aq:30.31 tex:6184 mv:2446 misc:562 imb:5 pmb:180 smb:735 d:s ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:31.40 aq:21.25 tex:33 mv:161 misc:374 imb:0 pmb:67 smb:853 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:31.31 aq:33.05 tex:973 mv:1116 misc:431 imb:1 pmb:102 smb:817 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:31.44 aq:26.18 tex:24277 mv:3443 misc:680 imb:29 pmb:401 smb:490 d:s ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:31.46 aq:29.94 tex:3935 mv:1626 misc:535 imb:1 pmb:180 smb:739 d:s ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:31.54 aq:33.26 tex:2423 mv:1785 misc:400 imb:2 pmb:132 smb:786 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:31.47 aq:33.13 tex:37 mv:93 misc:246 imb:0 pmb:32 smb:888 d:- ref:0 ;
in:75 out:73 type:P dur:2 cpbdur:2 q:31.35 aq:25.69 tex:30951 mv:3836 misc:717 imb:57 pmb:395 smb:468 d:s ref:0 ;
in:73 out:74 type:B dur:2 cpbdur:2 q:31.57 aq:32.38 tex:6407 mv:2715 misc:478 imb:6 pmb:214 smb:700 d:s ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:31.57 aq:33.32 tex:2429 mv:1335 misc:532 imb:2 pmb:156 smb:762 d:- ref:0 ;
in:79 out:76 type:P dur:2 cpbdur:2 q:31.35 aq:26.39 tex:28809 mv:3689 misc:678 imb:80 pmb:332 smb:508 d:s ref:0 ;
